,w1_edu,w2_edu,w3_edu,GR,FR,IT
GE,19736.522800415492,20369.315834258367,19766.215089986646,3646,1335,290
IS,8060.697995048095,1814.2273084275535,850.0823351885164,3646,1335,290
NET,2281.9361920892447,1438.9095729513606,2630.4532862740757,3646,1335,290
VET,26711.627508464735,33168.331780380286,33544.03378456833,3646,1335,290
