resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
1011127,23,1,1,1,1,1,1,1,.4108236633383499,.3099761436214546,.3661750746410316,1,3,2,9,9,9
1011128,26,2,1,1,1,1,1,1,1.846484316478081,1.485483594090837,1.515997495487002,1,1,1,7,7,7
1011131,11,1,1,1,1,1,0,0,6.22365211794983,,,3,2,2,6,,
1011132,23,2,2,1,1,1,1,1,.9949335390363544,.9896446012331314,.9853170318967712,2,3,1,8,8,8
1011133,2,1,1,2,1,1,1,1,19.67470021361023,19.23308436596709,18.39608184416754,2,1,2,6,6,6
1011139,2,1,1,2,2,1,1,1,33.21976666321818,29.51713581800672,30.7380844841698,1,1,2,6,6,6
1011142,10,2,2,1,1,1,1,1,9.583086950837624,8.961503396196704,10.59165885394861,3,1,2,6,6,6
1011144,12,1,1,1,2,1,0,1,10.69407111696451,,29.65615327568246,1,1,3,3,,5
1011153,17,1,1,1,1,1,1,1,8.484605401309519,8.60117179586881,11.2385398548317,2,1,2,4,6,6
1011158,12,1,2,2,1,1,0,1,9.126593877543227,,28.79488901908429,3,1,2,3,,6
1011161,7,1,1,1,1,1,1,1,1.345634406212783,1.103431774908798,1.381397833525974,2,2,2,9,9,1
1011165,20,1,2,1,1,1,1,1,7.866796615575925,8.171551821024099,7.198448809289236,3,3,1,8,8,8
1011172,2,1,1,1,2,1,1,1,22.55139059157156,17.11326668961529,19.41719462204696,3,3,2,3,8,8
1011173,5,1,1,1,1,1,0,1,4.432824920043831,,20.37703108765682,1,1,3,6,,6
1011175,5,1,2,2,1,1,1,1,3.929547778324391,3.378833458381219,3.403482422652579,3,3,1,8,8,8
1011179,9,1,2,2,1,1,0,.e,4.044263415737163,,,3,1,2,3,,
1011184,1,1,2,2,1,1,1,1,35.89161815444295,37.69041216419619,31.89371838695031,2,3,1,8,8,8
1011187,1,1,2,1,3,1,1,1,33.16631338880617,30.57577999028275,30.3819073970967,3,2,2,3,6,6
1011189,1,1,2,1,1,0,1,1,,57.99056979880965,26.61509668025422,3,2,2,,6,6
1011191,9,1,1,1,1,1,1,1,1.979641406485808,1.816413368332762,1.969769422826009,1,1,2,7,6,6
1011194,10,2,1,1,1,1,1,0,5.398582460861459,5.679627799555421,,1,2,3,6,6,
1011195,25,2,2,2,3,1,1,1,15.1031879010264,10.98399206418381,13.43991598778295,3,3,1,8,8,8
1011196,14,1,2,2,2,1,0,0,.0098877580844513,,,2,3,2,6,,
1011197,17,1,1,2,1,1,1,0,8.218271695046214,5.789709758296823,,3,1,3,6,6,
1011198,11,1,2,2,1,1,1,1,10.14445342560734,13.85451701009422,10.78557992809425,2,2,2,6,6,6
1011203,11,1,2,2,1,1,1,1,11.84472227324886,11.15356759220012,12.10942929101007,3,2,2,6,6,6
1011204,11,1,2,2,2,1,.e,.e,.2254679690511059,,,3,1,3,6,,
1011208,24,2,2,1,1,1,1,1,15.86556844437347,11.53512146967436,18.38792241178961,1,2,2,4,6,6
1011210,12,1,2,1,2,1,1,1,1.677174452948844,1.828685497216607,2.080767754704337,1,3,1,8,8,8
1011217,25,2,1,2,2,1,1,1,4.736295020015973,4.521219503911779,5.053156018612207,3,3,2,8,8,8
1011218,11,1,2,1,1,1,1,1,32.29253134860875,29.71401231439849,34.45771687089356,3,2,2,6,6,6
1011222,21,3,1,0,2,0,1,1,,22.55189157310153,11.88470918156182,2,1,3,,4,1
1011223,24,2,2,0,2,1,1,0,18.04468982247951,23.22330335634326,,1,3,1,7,7,
1011225,13,1,1,2,2,1,0,0,11.41204530914297,,,1,1,3,3,,
1011226,20,1,2,0,1,1,1,1,7.396571221681598,10.34931374303286,16.77674410581838,3,1,3,5,1,1
1011233,5,1,2,1,1,1,1,1,7.983659923609379,8.007439531102396,7.232738854350047,2,3,2,6,6,6
1011237,12,1,1,1,1,1,1,1,2.070470096278327,2.248501594018789,2.04817080868392,2,1,1,8,8,8
1011238,5,1,1,2,2,1,0,1,7.090554523846853,,44.5829871707417,1,1,2,6,,6
1011240,17,1,1,0,2,1,0,.e,.0776188786021922,,,1,1,3,6,,
1011243,21,3,1,2,1,1,1,0,7.395108906565749,8.360553909348655,,1,2,1,6,6,
1011244,8,1,1,0,1,1,0,0,.0026726795933295,,,2,3,1,8,,
1011248,1,1,1,2,3,1,1,1,19.25461033007419,20.1875936654683,22.77042070117539,3,1,3,3,6,6
1011249,21,3,2,2,1,1,1,1,10.0952901214245,9.111022747862839,9.180389706942151,3,2,1,6,6,6
1011252,24,2,1,2,1,1,1,1,4.582807772560703,4.558341357963146,4.783919031732634,3,2,1,8,8,8
1011257,2,1,1,2,1,1,0,.e,.1498886017713294,,,2,2,2,8,,
1011259,9,1,2,2,1,1,1,1,8.206549766038387,8.233286346979167,7.403617478295377,3,3,1,8,8,8
1011261,17,1,1,1,1,1,0,0,.0619155859229344,,,1,2,2,2,,
1011264,5,1,1,1,1,1,1,1,2.364936326466462,2.354069878824099,2.39740207157204,1,2,3,6,6,6
1011265,3,1,2,1,1,0,1,1,,13.0171702163653,4.507680368136603,3,2,2,,8,8
1011266,19,1,1,0,2,1,1,1,15.2797824048789,15.81823922628603,16.61886895749686,1,1,2,3,6,6
1011270,17,1,1,1,2,1,1,1,3.333883004947855,3.189215279797103,3.062655144511773,2,3,1,8,8,8
1011273,10,1,2,2,1,1,1,1,3.025518044759957,2.435236782059217,2.257273827687656,3,2,2,6,6,6
1011276,3,1,2,2,1,1,1,1,10.24386226289367,12.29306331230209,9.561228140678082,3,2,2,6,6,6
1011280,10,2,2,2,1,1,1,1,11.12169428858242,8.456103330365259,9.928912555528052,2,3,1,7,7,7
1011284,1,1,1,1,3,1,1,1,21.66871926915684,11.37587359053028,15.24948350845225,2,2,2,2,6,6
1011291,17,1,1,1,1,1,0,.e,4.506097158429368,,,1,1,3,3,,
1011293,26,2,2,1,2,1,1,0,1.732173276284419,1.48194988158713,,1,2,3,6,6,
1011295,18,1,1,1,1,1,1,1,3.672902320436313,3.927838134953038,3.490649455601924,3,3,1,8,8,8
1011296,3,1,2,1,1,1,1,1,2.311550585648139,2.4190714469716,2.118218711324197,2,2,2,6,6,6
1011297,1,1,1,1,1,1,1,1,26.78298039386657,27.76996889142814,27.92117343419525,3,3,1,8,8,8
1011298,2,2,2,1,1,1,1,1,1.961863915929422,2.446880621254641,2.307919744920935,2,1,3,4,1,6
1011305,5,1,1,1,1,1,1,1,6.617535022790483,6.043479609931779,5.534407908093635,1,1,2,6,6,6
1011312,17,1,1,0,1,1,1,0,3.219478730079603,2.166528244340558,,2,1,3,2,6,
1011315,2,1,1,2,1,1,1,1,9.676371006681125,8.197906858681321,7.167356207901416,3,1,2,1,6,6
1011318,3,1,2,1,2,1,1,1,3.81083150306289,3.698328366668481,3.370821147951246,2,1,2,6,6,6
1011320,17,1,1,1,1,1,1,1,2.733660914370275,2.464387530599887,3.595988573039004,1,1,3,4,6,6
1011321,1,1,1,2,3,1,1,1,7.08860836988467,6.76919125150653,6.23151464228596,3,3,1,8,8,8
